id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
9479490788,20150622,2470435.42,0,1.43,1046,1151287,3.0,1,2,4,1,3776,4401,2001,0,98133,47.3714,-121.5125,5336,548548
5804038132,20151203,1994330.62,3,3.57,887,1353772,1.2,0,4,4,9,6358,3704,2003,0,98169,47.299,-121.7514,1337,592596
9792812876,20140314,646861.53,0,7.32,905,1026247,2.7,0,4,2,2,2418,2908,1905,0,98195,47.502,-121.8801,1148,137395
5958424902,20150624,4748669.73,9,7.56,6204,1481492,2.7,0,2,3,10,3009,4336,1929,0,98020,47.2717,-121.6979,1791,292203
3617518640,20151022,4205345.14,8,7.58,13372,154083,1.1,1,2,5,10,2937,3501,1992,0,98145,47.2173,-121.5876,6044,42414
1051008201,20150404,3481181.13,9,5.69,3907,230401,2.0,0,4,4,1,3836,818,1933,1917,98057,47.5448,-122.0785,1719,654023
5868048333,20140624,3318932.71,5,3.3,2922,661291,1.5,0,0,2,12,838,4598,1941,1914,98177,47.6557,-122.2079,1062,205952
3372569415,20140912,5176193.35,0,6.61,5027,67863,1.8,0,2,5,13,9012,1828,1912,0,98156,47.3368,-121.7217,4773,629597
3024153574,20151126,2156359.65,9,0.83,6797,264112,2.4,0,0,4,10,706,1690,1904,0,98021,47.3266,-122.3312,1070,119615
4348764196,20140121,3817673.82,7,5.25,6973,591647,2.0,0,3,3,11,6215,177,1948,2011,98095,47.2414,-122.0339,1871,556341
7187382125,20151014,4374951.66,4,7.19,2338,1233412,1.4,0,3,1,1,7232,3561,2004,0,98123,47.7462,-121.8689,2203,466757
2054882164,20150510,1189496.55,8,6.06,11829,659549,2.6,1,3,1,9,4493,4095,1972,1932,98021,47.5857,-122.2234,3446,192609
2786683395,20140404,6529157.13,6,1.23,1692,699125,3.1,0,2,1,4,8002,687,1958,1993,98054,47.6862,-121.5654,785,833356
1546137561,20140802,1739633.43,1,3.92,12122,1053160,1.4,1,4,2,12,6417,3402,1989,0,98079,47.2777,-121.8911,2682,218686
7883196547,20140601,7542180.73,4,6.46,9388,97537,2.7,1,0,2,1,4318,616,1936,0,98124,47.2417,-121.9454,1133,801858
4654326214,20140105,1585916.62,3,7.21,5422,1292995,1.2,1,3,1,3,9247,3154,1961,0,98038,47.4101,-121.59,4602,95603
6619387319,20141128,267154.78,6,2.26,5795,582442,3.5,1,3,4,6,6234,1798,1907,1994,98076,47.6719,-121.5176,3241,275243
5208298565,20150228,331357.54,4,0.45,1137,1382691,2.9,1,4,3,9,3189,3014,1955,0,98084,47.533,-121.8983,4939,517999
9469300593,20151102,1405095.04,4,3.63,1208,812979,2.4,1,1,3,8,2860,3890,1939,0,98107,47.5059,-122.1733,3994,634268
9756416298,20150605,3343881.3,9,4.14,8891,1405043,1.1,0,3,2,3,4563,2301,1999,0,98063,47.6158,-121.9531,2180,35161
3730775279,20150205,3019183.71,9,7.07,5758,1412405,1.7,0,2,3,1,9070,607,1919,0,98055,47.6908,-121.475,3095,500458
7246928002,20140204,2818295.78,6,5.15,8390,1584444,1.4,0,0,4,4,1156,4646,1933,0,98042,47.2794,-121.3807,2380,270410
7566231359,20141017,3622604.02,3,3.8,2981,123830,2.9,1,2,3,7,3485,706,2000,0,98087,47.4144,-121.3798,919,429312
9664157179,20150410,1236655.81,8,0.96,1273,1273766,2.9,1,0,1,5,5708,4475,1923,0,98100,47.1923,-122.1067,3009,77762
8251805104,20150204,7638458.53,10,0.83,811,1353989,1.3,1,0,1,7,8123,2293,1941,0,98077,47.6277,-122.1382,3061,618343
5590753051,20140122,5574112.75,6,4.95,11341,784920,1.9,1,3,1,4,846,1759,1900,0,98071,47.2983,-121.8786,2544,20909
6734282849,20151026,4678971.42,1,2.98,1167,1303678,3.5,1,0,1,6,9077,741,1933,0,98198,47.678,-122.1786,4833,690475
9309062582,20150719,6039545.22,3,6.85,2498,565561,1.2,0,0,3,3,6466,773,1936,0,98087,47.4405,-121.8509,1932,663740
4071674928,20140106,749787.8,5,2.04,5243,1288807,2.4,0,4,3,11,6879,3841,1920,0,98099,47.2552,-121.8714,3229,62794
4589645557,20151114,6599000.9,6,0.45,12274,1616023,2.1,0,1,4,6,1444,416,1981,0,98075,47.2521,-121.9184,2193,212951
8721934092,20150530,879659.68,2,2.56,10154,377939,2.9,0,4,3,3,3667,255,1971,0,98162,47.5473,-122.4533,1380,763799
3501448672,20150328,5878445.56,3,2.43,4609,741897,1.9,1,4,3,12,6258,1953,1907,0,98013,47.4968,-121.4822,3435,825864
5505226762,20150416,6585734.27,3,2.66,12414,34191,1.7,0,1,4,11,6060,4038,1922,0,98028,47.199,-121.4075,667,802499
1911005341,20140614,5909475.04,7,0.03,3343,394611,3.0,0,1,2,1,4472,2118,1981,0,98103,47.1564,-122.3456,4434,280244
8305854312,20150721,435651.74,4,6.24,1611,954247,2.1,1,1,2,1,2369,2739,1958,0,98172,47.4348,-122.1528,2803,826515
3072480040,20150616,5807058.82,8,3.61,2683,951936,1.8,0,0,3,10,898,2810,1965,0,98027,47.206,-121.4409,4130,187513
8059400978,20150417,7200013.61,7,1.43,8425,1145461,2.7,1,1,1,10,8421,4331,1910,1923,98141,47.3484,-122.1853,1816,675156
8919336576,20150203,5498790.78,7,7.65,4135,1613711,2.4,1,1,1,3,1747,75,1912,0,98180,47.3132,-121.8709,1052,465068
9112115057,20151115,6723413.5,10,6.97,8935,1468380,2.0,0,0,3,11,6864,3423,1979,0,98137,47.6451,-121.5456,3304,349829
8927645082,20150313,4911935.89,7,5.12,9486,1322631,3.0,1,3,3,10,3184,3118,1912,0,98130,47.7664,-122.2115,4467,12378
3126654589,20150901,5781947.97,6,7.22,10203,1462505,1.8,1,4,1,1,2811,1648,1909,0,98158,47.4382,-121.7306,5700,839980
7776346816,20150206,4446346.67,6,6.2,7726,803731,1.6,1,1,4,4,8388,2288,1957,0,98158,47.6139,-122.175,1576,700905
4326962337,20150105,2928641.27,5,5.85,8559,969441,1.4,0,4,2,12,1447,3538,1975,0,98199,47.5843,-121.6681,2629,39291
4571119345,20150131,6988550.8,8,4.21,1010,780067,2.0,0,4,1,12,2958,232,1929,0,98142,47.3894,-122.4037,3554,172815
